Nested Sampling Global Log-Evidence           :   -0.370005925501034881E+03  +/-    0.614429399974251653E-01
Nested Importance Sampling Global Log-Evidence:   -0.370140738379599782E+03  +/-    0.533434943099969291E-01

Dim No.       Mean        Sigma
   1    0.153469284994810167E+02    0.735554682977578533E+01
   2    0.376612539000930298E+02    0.623047101724753816E+01
   3    0.157852684793447207E+02    0.136232234756666362E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.200000000000000000E+02
   2    0.370000000000000000E+02
   3    0.000000000000000000E+00

MAP Parameters
Dim No.        Parameter
   1    0.200000000000000000E+02
   2    0.370000000000000000E+02
   3    0.000000000000000000E+00
