Nested Sampling Global Log-Evidence           :   -0.205860352008107111E+04  +/-    0.668785994987655535E-01
Nested Importance Sampling Global Log-Evidence:   -0.205870646466162907E+04  +/-    0.980496785510305384E-02

Dim No.       Mean        Sigma
   1    0.191228766933749412E+02    0.701758377384418264E+01
   2    0.384285383749000218E+02    0.880336398565441236E+01
   3    0.908651859084880726E+02    0.554811045994283880E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.150000000000000000E+02
   2    0.420000000000000000E+02
   3    0.910000000000000000E+02

MAP Parameters
Dim No.        Parameter
   1    0.150000000000000000E+02
   2    0.420000000000000000E+02
   3    0.910000000000000000E+02
