Nested Sampling Global Log-Evidence           :   -0.122067646340946908E+04  +/-    0.715128891622224122E-01
Nested Importance Sampling Global Log-Evidence:   -0.122045019452306542E+04  +/-    0.639399690937448306E-01

Dim No.       Mean        Sigma
   1    0.231891733733988197E+02    0.394917047024678380E+01
   2    0.377763425496429974E+02    0.575374413156147035E+01
   3    0.903449479191630189E+02    0.667354353973994296E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.220000000000000000E+02
   2    0.380000000000000000E+02
   3    0.910000000000000000E+02

MAP Parameters
Dim No.        Parameter
   1    0.220000000000000000E+02
   2    0.380000000000000000E+02
   3    0.910000000000000000E+02
